experiment,iteration,pobj,p,gray_level,problem_type,criterion,pmax
0,1,0.18712924647906815,1.085528956547128,0.3610558275914783,0,0,2
0,2,0.16857968866890558,1.1779335419231827,0.35714119973232455,0,0,2
0,3,0.15485709862958397,1.2783344075438698,0.35821177786411634,0,0,2
0,4,0.14918280844791065,1.3868646734955548,0.35497249604045045,0,0,2
0,5,0.1423549283254432,1.5041232251957064,0.35158358935923334,0,0,2
0,6,0.13407218139096236,1.6311472784825185,0.35062755531296524,0,0,2
0,7,0.12522761088000994,1.7691165988774074,0.3519206072414769,0,0,2
0,8,0.11667185334331713,1.9189771694568747,0.35313021863288263,0,0,2
0,9,0.10855356500071009,2.0,0.3531901887525262,0,0,2
0,10,0.10535101669021765,2.0,0.34662605990032286,0,0,2
0,11,0.10660960903148729,2.0,0.3364961774494976,0,0,2
0,12,0.10757616842539554,2.0,0.3277000194784072,0,0,2
0,13,0.10840087960457918,2.0,0.32050250051486956,0,0,2
0,14,0.10910642198629299,2.0,0.3152740493253575,0,0,2
0,15,0.10961396091248618,2.0,0.31044866236451657,0,0,2
0,16,0.11020433878188636,2.0,0.30464595756455487,0,0,2
0,17,0.11087775737832023,2.0,0.29875565409850524,0,0,2
0,18,0.11148311832023149,2.0,0.29518427105893075,0,0,2
0,19,0.11180504392778237,2.0,0.2931420675624098,0,0,2
1,1,0.18677484581248002,1.085634294048521,0.36207390603136486,0,0,2
1,2,0.16889924173504994,1.1779183594827867,0.355987887786839,0,0,2
1,3,0.15411775964480598,1.278000167553786,0.3556033442099234,0,0,2
1,4,0.14583317490664172,1.3860133722712684,0.3512738296111385,0,0,2
1,5,0.13900163557033696,1.5025514680741765,0.34705634948547043,0,0,2
1,6,0.13048614307598314,1.6285823817643665,0.34508591143438777,0,0,2
1,7,0.12121755256474427,1.765202046098729,0.3451901543156215,0,0,2
1,8,0.11258816471844245,1.9130681739972182,0.3440144553486145,0,0,2
1,9,0.10428503029591013,2.0,0.3437577250719377,0,0,2
1,10,0.09999375765224915,2.0,0.3427134535296468,0,0,2
1,11,0.10070724458316628,2.0,0.34023303294124563,0,0,2
1,12,0.10116525089858419,2.0,0.3384212597398227,0,0,2
1,13,0.10152315030608619,2.0,0.3366293752841706,0,0,2
1,14,0.10192410134548319,2.0,0.3341661043649823,0,0,2
1,15,0.10233267424623312,2.0,0.33121807701171485,0,0,2
1,16,0.10277212077019561,2.0,0.328415089624509,0,0,2
1,17,0.10322388764644158,2.0,0.32529009698373496,0,0,2
1,18,0.10368376511400007,2.0,0.32241110457570843,0,0,2
1,19,0.10402464779931123,2.0,0.3202533236658162,0,0,2
2,1,0.18640218733711383,1.0856897027173464,0.36260938669301523,0,0,2
2,2,0.1700988621747786,1.1783871696801445,0.35962740404972565,0,0,2
2,3,0.1558412214438379,1.279487208149568,0.3636294780575266,0,0,2
2,4,0.14539965220906328,1.388179902131979,0.35546042732010874,0,0,2
2,5,0.13915219793711356,1.5045675507123584,0.34473714333108646,0,0,2
2,6,0.13175701718702995,1.6298243050697794,0.3390153673152845,0,0,2
2,7,0.1234665240239424,1.7649636132722715,0.33577487649469123,0,0,2
2,8,0.11557082868548,1.9108547907453686,0.3332856161492663,0,0,2
2,9,0.10774808065264271,2.0,0.33203279628060295,0,0,2
2,10,0.10405644482260328,2.0,0.32827783396599886,0,0,2
2,11,0.10543463603424176,2.0,0.32274733438836567,0,0,2
2,12,0.10639055031962345,2.0,0.31932608292078957,0,0,2
2,13,0.10700084002843087,2.0,0.3167838922589463,0,0,2
2,14,0.10743024371473284,2.0,0.31515662947056483,0,0,2
2,15,0.10769981015763663,2.0,0.31361383967775236,0,0,2
2,16,0.10797782897595774,2.0,0.312235796853409,0,0,2
2,17,0.10817868703794703,2.0,0.3108984429200334,0,0,2
2,18,0.10837284123196604,2.0,0.3095565820562987,0,0,2
2,19,0.10855540250368341,2.0,0.308234533717669,0,0,2
3,1,0.1862388661022079,1.0855573955318814,0.36133069781648774,0,0,2
3,2,0.17190040687446298,1.1790719666342286,0.3670015793103165,0,0,2
3,3,0.15969602715981224,1.2824774386903826,0.3820258898015926,0,0,2
3,4,0.1503590840564154,1.3949210626624895,0.3817958553448649,0,0,2
3,5,0.143934913431857,1.5157513174091315,0.37161106525379434,0,0,2
3,6,0.13637142495887625,1.6461543629026403,0.3659163536616732,0,0,2
3,7,0.128125348660685,1.787730385083458,0.36564725542606513,0,0,2
3,8,0.11946012142831229,1.9419883692350945,0.3683805540494601,0,0,2
3,9,0.11062354584350699,2.0,0.3715546822178446,0,0,2
3,10,0.1079549402970052,2.0,0.37092488924506806,0,0,2
3,11,0.10825303993282975,2.0,0.36884818380069906,0,0,2
3,12,0.10839965811270541,2.0,0.3676122695432833,0,0,2
3,13,0.10850701375240754,2.0,0.3664512219732815,0,0,2
3,14,0.10865867280039415,2.0,0.3646607677468933,0,0,2
3,15,0.10891309721083206,2.0,0.36237417633940017,0,0,2
3,16,0.10919162359234724,2.0,0.36010976059320754,0,0,2
3,17,0.1094206238131637,2.0,0.3582568080502846,0,0,2
3,18,0.10959588935693333,2.0,0.35676004360460756,0,0,2
3,19,0.10974042089440995,2.0,0.3552397110099426,0,0,2
4,1,0.1862474545279641,1.0853425760725057,0.3592542332978346,0,0,2
4,2,0.17333086154803612,1.1796644324416294,0.37434882029606903,0,0,2
4,3,0.16308506397911499,1.2853947432108779,0.40059472935738544,0,0,2
4,4,0.15548446083766462,1.4021410287030631,0.4121219840844158,0,0,2
4,5,0.1479830508918243,1.5292426307539535,0.41041928369452774,0,0,2
4,6,0.14021644764299337,1.6672403260266224,0.40648407202214437,0,0,2
4,7,0.13239434891276897,1.817508006558616,0.4054287348106274,0,0,2
4,8,0.12452553279072825,1.9814762947824198,0.406260326127291,0,0,2
4,9,0.11675501524177057,2.0,0.40837584853228726,0,0,2
4,10,0.1167089952206748,2.0,0.402268674119231,0,0,2
4,11,0.11738283587418004,2.0,0.3955890885715806,0,0,2
4,12,0.11817207641150435,2.0,0.38808288218000414,0,0,2
4,13,0.1190669239473254,2.0,0.3813846793697453,0,0,2
4,14,0.11997491302040172,2.0,0.3753396958956554,0,0,2
4,15,0.12079969645703426,2.0,0.37042274232842676,0,0,2
4,16,0.12141017693630268,2.0,0.36504028092507373,0,0,2
4,17,0.12187537448138336,2.0,0.3623775844087782,0,0,2
4,18,0.12223216263067974,2.0,0.3606218129574305,0,0,2
4,19,0.12246981785669034,2.0,0.3586366255224179,0,0,2
5,1,0.18640218733711383,1.0856897027173464,0.36260938669301523,0,0,3
5,2,0.1700988621747786,1.1783871696801445,0.35962740404972565,0,0,3
5,3,0.1558412214438379,1.279487208149568,0.3636294780575266,0,0,3
5,4,0.14539965220906328,1.388179902131979,0.35546042732010874,0,0,3
5,5,0.13915219793711356,1.5045675507123584,0.34473714333108646,0,0,3
5,6,0.13175701718702995,1.6298243050697794,0.3390153673152845,0,0,3
5,7,0.1234665240239424,1.7649636132722715,0.33577487649469123,0,0,3
5,8,0.11557082868548,1.9108547907453686,0.3332856161492663,0,0,3
5,9,0.10774808065264271,2.068558259841221,0.33203279628060295,0,0,3
5,10,0.10017884310846861,2.2388558933178797,0.33005930585039084,0,0,3
5,11,0.09302875935414892,2.4227222519961575,0.32810495326504907,0,0,3
5,12,0.08555917581728884,2.62154923344905,0.32754694400939005,0,0,3
5,13,0.07805680700204515,2.836781282114213,0.32787174196872426,0,0,3
5,14,0.0703249367225885,3.0,0.32912560449743455,0,0,3
5,15,0.06139510813203135,3.0,0.33689641514054675,0,0,3
5,16,0.06491553990884907,3.0,0.331256725363782,0,0,3
5,17,0.06580587227499819,3.0,0.32772239592675695,0,0,3
5,18,0.06659620006480091,3.0,0.32443470209770087,0,0,3
5,19,0.06752948822992662,3.0,0.3200969776561953,0,0,3
6,1,0.33950579016763,1.0783177624916558,0.2911243017878334,0,0,3
6,2,0.3198872410876976,1.1596323717313508,0.26278142235450463,0,0,3
6,3,0.30345337535242745,1.2464274083531137,0.2572995044968885,0,0,3
6,4,0.2900161335155548,1.3396173267684137,0.2565048180704731,0,0,3
6,5,0.2791542429771539,1.4401431916584362,0.2591901652585828,0,0,3
6,6,0.26769602493441824,1.548590947345415,0.2617539291631591,0,0,3
6,7,0.25609107547216126,1.6656241060910548,0.2643930647241526,0,0,3
6,8,0.2440094115134669,1.7920198729635317,0.26742602703800294,0,0,3
6,9,0.23152987618212545,1.9288777021877448,0.27216230373889566,0,0,3
6,10,0.2185645806663855,2.077383614395292,0.2782053507464399,0,0,3
6,11,0.20503874033084113,2.238749728199406,0.28489337563529255,0,0,3
6,12,0.19121149685371097,2.4142127195362173,0.2916854744629893,0,0,3
6,13,0.1773906927460137,2.605092528587287,0.29839274710188834,0,0,3
6,14,0.16292100459626296,2.8132348435010597,0.306491154090538,0,0,3
6,15,0.14221498249218306,3.0,0.3215472778605914,0,0,3
6,16,0.13498955928371284,3.0,0.3231389984482998,0,0,3
6,17,0.1373354008815913,3.0,0.32014848283879355,0,0,3
6,18,0.13863463803402337,3.0,0.3178927832129804,0,0,3
6,19,0.1396313526485247,3.0,0.3161097422157042,0,0,3
7,1,0.3329531931002213,1.0892539416602744,0.3969976226715709,0,0,3
7,2,0.30640927047105576,1.1837207762243123,0.37262109071223165,0,0,3
7,3,0.28624993017530304,1.281246932652679,0.33066774482401495,0,0,3
7,4,0.27609067003193266,1.3825939595829362,0.2987357270613931,0,0,3
7,5,0.2679206407805802,1.489586566597644,0.28204861106000245,0,0,3
7,6,0.2582749813725612,1.6041712052605024,0.27755210382027656,0,0,3
7,7,0.24687782687537302,1.7275432647774145,0.2773889529614609,0,0,3
7,8,0.23476710924841931,1.8607421864140532,0.27929883421017854,0,0,3
7,9,0.22198552466219604,2.004918378650058,0.28300049470880856,0,0,3
7,10,0.20889203822566163,2.160977757069108,0.2864577919222661,0,0,3
7,11,0.19594812612727885,2.3298934551794286,0.2896507457228587,0,0,3
7,12,0.18322140684334007,2.512696497671877,0.292506523117576,0,0,3
7,13,0.170800049820807,2.710425121877381,0.2947631190060353,0,0,3
7,14,0.15709149835938882,2.9246521217127723,0.2981313946646534,0,0,3
7,15,0.14899951134865352,3.0,0.2945585477922126,0,0,3
7,16,0.1507431567220627,3.0,0.2874342367707554,0,0,3
7,17,0.1550923715486754,3.0,0.2794853584505818,0,0,3
7,18,0.15897631353581543,3.0,0.2719039297731968,0,0,3
7,19,0.16194778645354455,3.0,0.26623009500947065,0,0,3
8,1,0.18911937316448765,1.0896437058689703,0.40075129049537495,1,1,3
8,2,0.17466854456859976,1.1865427915439264,0.39385094349143773,1,1,3
8,3,0.16165113985221902,1.2912396384985556,0.38719647364538357,1,1,3
8,4,0.15139357663754896,1.4025890475080636,0.3678729966718438,1,1,3
8,5,0.14487736470831986,1.5210398518120616,0.3506370020147823,1,1,3
8,6,0.13783464289235925,1.6479918513235459,0.3410777637879059,1,1,3
8,7,0.13060268306281136,1.7843569799671057,0.33412525600223025,1,1,3
8,8,0.1235690237488954,1.9315364110280762,0.3315758007906106,1,1,3
8,9,0.11598841393393211,2.0907451136072153,0.33102101137654,1,1,3
8,10,0.10853473375922162,2.262959902093582,0.3304793004552181,1,1,3
8,11,0.10142576427118168,2.4491391939852827,0.3295332776509045,1,1,3
8,12,0.09485616258747478,2.650092346943843,0.3273814405867026,1,1,3
8,13,0.08913175777549306,2.8664535003241722,0.3234279312166015,1,1,3
8,14,0.08409756926534764,3.0,0.3189502716760816,1,1,3
8,15,0.08215078768652428,3.0,0.3123092890162287,1,1,3
8,16,0.08458043011087366,3.0,0.30224793214105444,1,1,3
8,17,0.08686210495492125,3.0,0.29565861518480513,1,1,3
8,18,0.08828948196199521,3.0,0.2905498221402741,1,1,3
8,19,0.08931849928282759,3.0,0.28678278859505674,1,1,3
9,1,0.3431578992033945,1.079676918825021,0.3043405993291345,1,1,3
9,2,0.32546617545754214,1.1623897580257179,0.27448364049138335,1,1,3
9,3,0.3109452139983174,1.2499940475334739,0.26236103322966675,1,1,3
9,4,0.29889923462750606,1.3442930278736345,0.26308171748233433,1,1,3
9,5,0.2863786451521533,1.4458258326211972,0.26395222315375017,1,1,3
9,6,0.2753838945488625,1.5547769297429204,0.2622628891205207,1,1,3
9,7,0.26610892653026125,1.6716658499065402,0.26055425039552566,1,1,3
9,8,0.2562083599474715,1.7974979368679218,0.2614613552027205,1,1,3
9,9,0.24581008376901825,1.9332396436869963,0.26383765998361225,1,1,3
9,10,0.23489265286105865,2.079939316248106,0.2674054440873101,1,1,3
9,11,0.22397920614150948,2.2386045285305025,0.27131293996854877,1,1,3
9,12,0.21288455789990002,2.410328652773792,0.2754724144004256,1,1,3
9,13,0.2014589634516155,2.596466367168173,0.2804866445439408,1,1,3
9,14,0.18974528659478543,2.7984040269599664,0.28583246176164473,1,1,3
9,15,0.20452982208059944,2.993399164394436,0.20674844805030848,1,1,3
9,16,0.15984430151145346,3.0,0.3005069627645975,1,1,3
9,17,0.16913939099276512,3.0,0.2931376126941344,1,1,3
9,18,0.17194728730532222,3.0,0.28784563736085245,1,1,3
9,19,0.1739028804879874,3.0,0.28344354154929124,1,1,3
10,1,0.33795212975066463,1.091089200377457,0.41466057337260326,1,1,3
10,2,0.3131480008412169,1.187121409505004,0.38505686917883386,1,1,3
10,3,0.2953565944492083,1.285108487097685,0.33214350929517644,1,1,3
10,4,0.2863716366432345,1.3875586208727089,0.30476896214649124,1,1,3
10,5,0.2762973916949286,1.4959279287953637,0.2890121242415531,1,1,3
10,6,0.2668666200696142,1.611547710673042,0.2811162030111875,1,1,3
10,7,0.25699293865437384,1.7356437869209722,0.2783363252487971,1,1,3
10,8,0.24658160366486265,1.8690663155933036,0.2770482286021907,1,1,3
10,9,0.23576210196606143,2.012960676582328,0.2781708332070286,1,1,3
10,10,0.22444971910623335,2.1684061911969796,0.2804603035088659,1,1,3
10,11,0.21334153914957626,2.3362027490879735,0.28201962303816197,1,1,3
10,12,0.20275985686886985,2.517200554088736,0.28292306730774774,1,1,3
10,13,0.193034024602586,2.711967396169567,0.2819411872461279,1,1,3
10,14,0.19298580519549155,2.9142624367396093,0.2548240552359931,1,1,3
10,15,0.18677640287014352,3.0,0.2536215808732953,1,1,3
10,16,0.18250643303911074,3.0,0.2620801734735865,1,1,3
10,17,0.1848187139955692,3.0,0.2578628430161709,1,1,3
10,18,0.1871026930136808,3.0,0.2528661900493801,1,1,3
10,19,0.18816641130274797,3.0,0.2507974578285747,1,1,3
